obs_datetime,night,mfgID,sig,noise,motusTagID,port,runLen,tagProjID,mfg,tagModel,tagLifespan,tagBI,tagDeployID,tagDeployStart,fullID,deviceID,recvDeployID,recvDeployLat,recvDeployLon,recv,recvDeployName,antType,antBearing,speciesEN,tagProjName,recvProjName
2023-05-09T22:57:39Z,2023-05-09,155,-66.7846,-76.2185,69763,3,6,113,Lotek,NTQB2-1-M,67,8.299799919128418,42237,2023-05-02T01:00:00Z,WUR#155:8.3@150.1(M.69763),1519,5611,53.6212,0.1306,SG-3206RPI30D24,Spurn Bird Observatory,yagi-6,142.52745,Nathusius' Pipistrelle,WUR,UK-BirdObs
2023-05-09T22:57:48Z,2023-05-09,155,-66.8722,-76.4063,69763,3,6,113,Lotek,NTQB2-1-M,67,8.299799919128418,42237,2023-05-02T01:00:00Z,WUR#155:8.3@150.1(M.69763),1519,5611,53.6212,0.1306,SG-3206RPI30D24,Spurn Bird Observatory,yagi-6,142.52745,Nathusius' Pipistrelle,WUR,UK-BirdObs
2023-05-09T22:58:21Z,2023-05-09,155,-68.5026,-76.3227,69763,3,6,113,Lotek,NTQB2-1-M,67,8.299799919128418,42237,2023-05-02T01:00:00Z,WUR#155:8.3@150.1(M.69763),1519,5611,53.6212,0.1306,SG-3206RPI30D24,Spurn Bird Observatory,yagi-6,142.52745,Nathusius' Pipistrelle,WUR,UK-BirdObs
2023-05-09T22:58:29Z,2023-05-09,155,-67.6827,-76.2783,69763,3,6,113,Lotek,NTQB2-1-M,67,8.299799919128418,42237,2023-05-02T01:00:00Z,WUR#155:8.3@150.1(M.69763),1519,5611,53.6212,0.1306,SG-3206RPI30D24,Spurn Bird Observatory,yagi-6,142.52745,Nathusius' Pipistrelle,WUR,UK-BirdObs
2023-05-14T07:26:41Z,2023-05-14,190,-67.9108,-81.0715,71544,1,2,113,Lotek,NTQB2-4-2S-M,265,4.098700046539307,43723,2022-10-30T08:37:00Z,WUR#190:4.1@150.1(M.71544),1519,5611,53.6212,0.1306,SG-3206RPI30D24,Spurn Bird Observatory,yagi-6,345.52747,Eurasian Blackbird,WUR,UK-BirdObs
2023-05-14T07:27:34Z,2023-05-14,190,-67.1267,-79.902,71544,1,2,113,Lotek,NTQB2-4-2S-M,265,4.098700046539307,43723,2022-10-30T08:37:00Z,WUR#190:4.1@150.1(M.71544),1519,5611,53.6212,0.1306,SG-3206RPI30D24,Spurn Bird Observatory,yagi-6,345.52747,Eurasian Blackbird,WUR,UK-BirdObs
2023-05-14T23:03:44Z,2023-05-14,444.3,-67.2917,-76.9552,59338,1,2,113,Lotek,NTQB2-3-2,216,7.299099922180176,37049,2022-10-20T12:45:00Z,WUR#444.3:7.3@150.1(M.59338),1519,5611,53.6212,0.1306,SG-3206RPI30D24,Spurn Bird Observatory,yagi-6,345.52747,European Starling,WUR,UK-BirdObs
2023-05-14T23:04:28Z,2023-05-14,444.3,-65.749,-76.0569,59338,1,2,113,Lotek,NTQB2-3-2,216,7.299099922180176,37049,2022-10-20T12:45:00Z,WUR#444.3:7.3@150.1(M.59338),1519,5611,53.6212,0.1306,SG-3206RPI30D24,Spurn Bird Observatory,yagi-6,345.52747,European Starling,WUR,UK-BirdObs
2023-05-14T23:42:10Z,2023-05-14,190,-67.5033,-79.5351,71544,1,2,113,Lotek,NTQB2-4-2S-M,265,4.098700046539307,43723,2022-10-30T08:37:00Z,WUR#190:4.1@150.1(M.71544),1519,5611,53.6212,0.1306,SG-3206RPI30D24,Spurn Bird Observatory,yagi-6,345.52747,Eurasian Blackbird,WUR,UK-BirdObs
2023-05-14T23:43:20Z,2023-05-14,190,-64.774,-75.7581,71544,1,2,113,Lotek,NTQB2-4-2S-M,265,4.098700046539307,43723,2022-10-30T08:37:00Z,WUR#190:4.1@150.1(M.71544),1519,5611,53.6212,0.1306,SG-3206RPI30D24,Spurn Bird Observatory,yagi-6,345.52747,Eurasian Blackbird,WUR,UK-BirdObs
2023-05-15T00:17:53Z,2023-05-14,190,-67.3671,-81.6158,71544,2,2,113,Lotek,NTQB2-4-2S-M,265,4.098700046539307,43723,2022-10-30T08:37:00Z,WUR#190:4.1@150.1(M.71544),1519,5611,53.6212,0.1306,SG-3206RPI30D24,Spurn Bird Observatory,yagi-6,102.52745,Eurasian Blackbird,WUR,UK-BirdObs
2023-05-15T00:18:10Z,2023-05-14,190,-65.987,-78.2448,71544,2,2,113,Lotek,NTQB2-4-2S-M,265,4.098700046539307,43723,2022-10-30T08:37:00Z,WUR#190:4.1@150.1(M.71544),1519,5611,53.6212,0.1306,SG-3206RPI30D24,Spurn Bird Observatory,yagi-6,102.52745,Eurasian Blackbird,WUR,UK-BirdObs
2023-05-15T00:59:43Z,2023-05-14,178,-64.7822,-81.6923,70327,2,2,113,Lotek,NTQB2-3-2-M,216,7.298999786376953,42575,2022-10-28T13:30:00Z,WUR#178:7.3@150.1(M.70327),1519,5611,53.6212,0.1306,SG-3206RPI30D24,Spurn Bird Observatory,yagi-6,102.52745,European Starling,WUR,UK-BirdObs
2023-05-15T01:01:03Z,2023-05-14,178,-68.9585,-81.1571,70327,2,2,113,Lotek,NTQB2-3-2-M,216,7.298999786376953,42575,2022-10-28T13:30:00Z,WUR#178:7.3@150.1(M.70327),1519,5611,53.6212,0.1306,SG-3206RPI30D24,Spurn Bird Observatory,yagi-6,102.52745,European Starling,WUR,UK-BirdObs
2023-05-15T01:33:52Z,2023-05-14,444.3,-70.4869,-83.0475,59338,1,2,113,Lotek,NTQB2-3-2,216,7.299099922180176,37049,2022-10-20T12:45:00Z,WUR#444.3:7.3@150.1(M.59338),1519,5611,53.6212,0.1306,SG-3206RPI30D24,Spurn Bird Observatory,yagi-6,345.52747,European Starling,WUR,UK-BirdObs
2023-05-15T01:34:36Z,2023-05-14,444.3,-71.5019,-82.5121,59338,1,2,113,Lotek,NTQB2-3-2,216,7.299099922180176,37049,2022-10-20T12:45:00Z,WUR#444.3:7.3@150.1(M.59338),1519,5611,53.6212,0.1306,SG-3206RPI30D24,Spurn Bird Observatory,yagi-6,345.52747,European Starling,WUR,UK-BirdObs
2023-05-15T01:33:59Z,2023-05-14,190,-65.3082,-82.4615,71544,2,2,113,Lotek,NTQB2-4-2S-M,265,4.098700046539307,43723,2022-10-30T08:37:00Z,WUR#190:4.1@150.1(M.71544),1519,5611,53.6212,0.1306,SG-3206RPI30D24,Spurn Bird Observatory,yagi-6,102.52745,Eurasian Blackbird,WUR,UK-BirdObs
2023-05-15T01:35:17Z,2023-05-14,190,-66.7692,-82.7824,71544,2,2,113,Lotek,NTQB2-4-2S-M,265,4.098700046539307,43723,2022-10-30T08:37:00Z,WUR#190:4.1@150.1(M.71544),1519,5611,53.6212,0.1306,SG-3206RPI30D24,Spurn Bird Observatory,yagi-6,102.52745,Eurasian Blackbird,WUR,UK-BirdObs
2023-05-15T01:42:47Z,2023-05-14,88,-67.4259,-82.5928,65733,1,2,389,Lotek,NTQB2-3-2-M,553,29.296499252319336,39933,2022-05-28T00:00:00Z,pre-mig flights#88:29.3@150.1(M.65733),1519,5611,53.6212,0.1306,SG-3206RPI30D24,Spurn Bird Observatory,yagi-6,345.52747,Northern Wheatear (Eurasian),pre-mig flights,UK-BirdObs
2023-05-15T01:43:16Z,2023-05-14,88,-66.452,-82.5286,65733,1,2,389,Lotek,NTQB2-3-2-M,553,29.296499252319336,39933,2022-05-28T00:00:00Z,pre-mig flights#88:29.3@150.1(M.65733),1519,5611,53.6212,0.1306,SG-3206RPI30D24,Spurn Bird Observatory,yagi-6,345.52747,Northern Wheatear (Eurasian),pre-mig flights,UK-BirdObs
2023-05-07T02:44:43Z,2023-05-06,268,-71.1659,-79.4966,75326,4,2,113,Lotek,NTQB2-3-2-M,216,7.299200057983398,45321,2023-04-16T09:30:00Z,WUR#268:7.3@150.1(M.75326),1519,5611,53.6212,0.1306,SG-3206RPI30D24,Spurn Bird Observatory,yagi-6,187.52745,Red Knot,WUR,UK-BirdObs
2023-05-07T02:44:50Z,2023-05-06,268,-69.9054,-78.9101,75326,4,2,113,Lotek,NTQB2-3-2-M,216,7.299200057983398,45321,2023-04-16T09:30:00Z,WUR#268:7.3@150.1(M.75326),1519,5611,53.6212,0.1306,SG-3206RPI30D24,Spurn Bird Observatory,yagi-6,187.52745,Red Knot,WUR,UK-BirdObs
2023-05-07T02:46:47Z,2023-05-06,444.3,-70.6348,-79.699700000000007,59338,4,2,113,Lotek,NTQB2-3-2,216,7.299099922180176,37049,2022-10-20T12:45:00Z,WUR#444.3:7.3@150.1(M.59338),1519,5611,53.6212,0.1306,SG-3206RPI30D24,Spurn Bird Observatory,yagi-6,187.52745,European Starling,WUR,UK-BirdObs
2023-05-07T02:48:00Z,2023-05-06,444.3,-71.1993,-80.8203,59338,4,2,113,Lotek,NTQB2-3-2,216,7.299099922180176,37049,2022-10-20T12:45:00Z,WUR#444.3:7.3@150.1(M.59338),1519,5611,53.6212,0.1306,SG-3206RPI30D24,Spurn Bird Observatory,yagi-6,187.52745,European Starling,WUR,UK-BirdObs
2023-05-09T22:35:40Z,2023-05-09,444.3,-69.2866,-80.911,59338,4,2,113,Lotek,NTQB2-3-2,216,7.299099922180176,37049,2022-10-20T12:45:00Z,WUR#444.3:7.3@150.1(M.59338),1519,5611,53.6212,0.1306,SG-3206RPI30D24,Spurn Bird Observatory,yagi-6,187.52745,European Starling,WUR,UK-BirdObs
2023-05-09T22:36:16Z,2023-05-09,444.3,-67.8302,-79.3718,59338,4,2,113,Lotek,NTQB2-3-2,216,7.299099922180176,37049,2022-10-20T12:45:00Z,WUR#444.3:7.3@150.1(M.59338),1519,5611,53.6212,0.1306,SG-3206RPI30D24,Spurn Bird Observatory,yagi-6,187.52745,European Starling,WUR,UK-BirdObs
2023-05-09T22:41:20Z,2023-05-09,155,-72.3775,-80.4767,69763,1,9,113,Lotek,NTQB2-1-M,67,8.299799919128418,42237,2023-05-02T01:00:00Z,WUR#155:8.3@150.1(M.69763),1519,5611,53.6212,0.1306,SG-3206RPI30D24,Spurn Bird Observatory,yagi-6,345.52747,Nathusius' Pipistrelle,WUR,UK-BirdObs
2023-05-09T22:41:45Z,2023-05-09,155,-71.7254,-80.6259,69763,1,9,113,Lotek,NTQB2-1-M,67,8.299799919128418,42237,2023-05-02T01:00:00Z,WUR#155:8.3@150.1(M.69763),1519,5611,53.6212,0.1306,SG-3206RPI30D24,Spurn Bird Observatory,yagi-6,345.52747,Nathusius' Pipistrelle,WUR,UK-BirdObs
2023-05-09T22:42:51Z,2023-05-09,155,-69.685,-80.1992,69763,1,9,113,Lotek,NTQB2-1-M,67,8.299799919128418,42237,2023-05-02T01:00:00Z,WUR#155:8.3@150.1(M.69763),1519,5611,53.6212,0.1306,SG-3206RPI30D24,Spurn Bird Observatory,yagi-6,345.52747,Nathusius' Pipistrelle,WUR,UK-BirdObs
2023-05-09T22:43:24Z,2023-05-09,155,-69.535,-80.555,69763,1,9,113,Lotek,NTQB2-1-M,67,8.299799919128418,42237,2023-05-02T01:00:00Z,WUR#155:8.3@150.1(M.69763),1519,5611,53.6212,0.1306,SG-3206RPI30D24,Spurn Bird Observatory,yagi-6,345.52747,Nathusius' Pipistrelle,WUR,UK-BirdObs
2023-05-09T22:43:33Z,2023-05-09,155,-69.1485,-80.3099,69763,1,9,113,Lotek,NTQB2-1-M,67,8.299799919128418,42237,2023-05-02T01:00:00Z,WUR#155:8.3@150.1(M.69763),1519,5611,53.6212,0.1306,SG-3206RPI30D24,Spurn Bird Observatory,yagi-6,345.52747,Nathusius' Pipistrelle,WUR,UK-BirdObs
2023-05-09T22:43:58Z,2023-05-09,155,-64.168,-79.935,69763,1,9,113,Lotek,NTQB2-1-M,67,8.299799919128418,42237,2023-05-02T01:00:00Z,WUR#155:8.3@150.1(M.69763),1519,5611,53.6212,0.1306,SG-3206RPI30D24,Spurn Bird Observatory,yagi-6,345.52747,Nathusius' Pipistrelle,WUR,UK-BirdObs
2023-05-09T22:44:06Z,2023-05-09,155,-63.0472,-80.296,69763,1,9,113,Lotek,NTQB2-1-M,67,8.299799919128418,42237,2023-05-02T01:00:00Z,WUR#155:8.3@150.1(M.69763),1519,5611,53.6212,0.1306,SG-3206RPI30D24,Spurn Bird Observatory,yagi-6,345.52747,Nathusius' Pipistrelle,WUR,UK-BirdObs
2023-05-09T22:44:14Z,2023-05-09,155,-64.6948,-80.2081,69763,1,9,113,Lotek,NTQB2-1-M,67,8.299799919128418,42237,2023-05-02T01:00:00Z,WUR#155:8.3@150.1(M.69763),1519,5611,53.6212,0.1306,SG-3206RPI30D24,Spurn Bird Observatory,yagi-6,345.52747,Nathusius' Pipistrelle,WUR,UK-BirdObs
2023-05-09T22:44:23Z,2023-05-09,155,-70.1217,-80.6654,69763,1,9,113,Lotek,NTQB2-1-M,67,8.299799919128418,42237,2023-05-02T01:00:00Z,WUR#155:8.3@150.1(M.69763),1519,5611,53.6212,0.1306,SG-3206RPI30D24,Spurn Bird Observatory,yagi-6,345.52747,Nathusius' Pipistrelle,WUR,UK-BirdObs
2023-05-09T22:48:40Z,2023-05-09,155,-70.3115,-80.838,69763,1,18,113,Lotek,NTQB2-1-M,67,8.299799919128418,42237,2023-05-02T01:00:00Z,WUR#155:8.3@150.1(M.69763),1519,5611,53.6212,0.1306,SG-3206RPI30D24,Spurn Bird Observatory,yagi-6,345.52747,Nathusius' Pipistrelle,WUR,UK-BirdObs
2023-05-09T22:48:48Z,2023-05-09,155,-70.8349,-80.145,69763,1,18,113,Lotek,NTQB2-1-M,67,8.299799919128418,42237,2023-05-02T01:00:00Z,WUR#155:8.3@150.1(M.69763),1519,5611,53.6212,0.1306,SG-3206RPI30D24,Spurn Bird Observatory,yagi-6,345.52747,Nathusius' Pipistrelle,WUR,UK-BirdObs
2023-05-09T22:48:56Z,2023-05-09,155,-68.6682,-80.0822,69763,1,18,113,Lotek,NTQB2-1-M,67,8.299799919128418,42237,2023-05-02T01:00:00Z,WUR#155:8.3@150.1(M.69763),1519,5611,53.6212,0.1306,SG-3206RPI30D24,Spurn Bird Observatory,yagi-6,345.52747,Nathusius' Pipistrelle,WUR,UK-BirdObs
2023-05-09T22:49:13Z,2023-05-09,155,-69.6261,-80.1292,69763,1,18,113,Lotek,NTQB2-1-M,67,8.299799919128418,42237,2023-05-02T01:00:00Z,WUR#155:8.3@150.1(M.69763),1519,5611,53.6212,0.1306,SG-3206RPI30D24,Spurn Bird Observatory,yagi-6,345.52747,Nathusius' Pipistrelle,WUR,UK-BirdObs
2023-05-09T22:49:21Z,2023-05-09,155,-66.6781,-80.3915,69763,1,18,113,Lotek,NTQB2-1-M,67,8.299799919128418,42237,2023-05-02T01:00:00Z,WUR#155:8.3@150.1(M.69763),1519,5611,53.6212,0.1306,SG-3206RPI30D24,Spurn Bird Observatory,yagi-6,345.52747,Nathusius' Pipistrelle,WUR,UK-BirdObs
2023-05-09T22:49:55Z,2023-05-09,155,-67.5865,-80.28,69763,1,18,113,Lotek,NTQB2-1-M,67,8.299799919128418,42237,2023-05-02T01:00:00Z,WUR#155:8.3@150.1(M.69763),1519,5611,53.6212,0.1306,SG-3206RPI30D24,Spurn Bird Observatory,yagi-6,345.52747,Nathusius' Pipistrelle,WUR,UK-BirdObs
2023-05-09T22:50:11Z,2023-05-09,155,-56.2424,-79.6391,69763,1,18,113,Lotek,NTQB2-1-M,67,8.299799919128418,42237,2023-05-02T01:00:00Z,WUR#155:8.3@150.1(M.69763),1519,5611,53.6212,0.1306,SG-3206RPI30D24,Spurn Bird Observatory,yagi-6,345.52747,Nathusius' Pipistrelle,WUR,UK-BirdObs
2023-05-09T22:50:11Z,2023-05-09,155,-68.1505,-79.0671,69763,2,12,113,Lotek,NTQB2-1-M,67,8.299799919128418,42237,2023-05-02T01:00:00Z,WUR#155:8.3@150.1(M.69763),1519,5611,53.6212,0.1306,SG-3206RPI30D24,Spurn Bird Observatory,yagi-6,102.52745,Nathusius' Pipistrelle,WUR,UK-BirdObs
2023-05-09T22:50:19Z,2023-05-09,155,-63.6912,-79.7794,69763,2,12,113,Lotek,NTQB2-1-M,67,8.299799919128418,42237,2023-05-02T01:00:00Z,WUR#155:8.3@150.1(M.69763),1519,5611,53.6212,0.1306,SG-3206RPI30D24,Spurn Bird Observatory,yagi-6,102.52745,Nathusius' Pipistrelle,WUR,UK-BirdObs
2023-05-09T22:50:11Z,2023-05-09,155,-67.6292,-76.4774,69763,3,19,113,Lotek,NTQB2-1-M,67,8.299799919128418,42237,2023-05-02T01:00:00Z,WUR#155:8.3@150.1(M.69763),1519,5611,53.6212,0.1306,SG-3206RPI30D24,Spurn Bird Observatory,yagi-6,142.52745,Nathusius' Pipistrelle,WUR,UK-BirdObs
2023-05-09T22:50:19Z,2023-05-09,155,-63.4684,-76.4473,69763,3,19,113,Lotek,NTQB2-1-M,67,8.299799919128418,42237,2023-05-02T01:00:00Z,WUR#155:8.3@150.1(M.69763),1519,5611,53.6212,0.1306,SG-3206RPI30D24,Spurn Bird Observatory,yagi-6,142.52745,Nathusius' Pipistrelle,WUR,UK-BirdObs
2023-05-09T22:50:19Z,2023-05-09,155,-53.7923,-79.1582,69763,1,18,113,Lotek,NTQB2-1-M,67,8.299799919128418,42237,2023-05-02T01:00:00Z,WUR#155:8.3@150.1(M.69763),1519,5611,53.6212,0.1306,SG-3206RPI30D24,Spurn Bird Observatory,yagi-6,345.52747,Nathusius' Pipistrelle,WUR,UK-BirdObs
2023-05-09T22:50:28Z,2023-05-09,155,-59.8498,-80.3788,69763,1,18,113,Lotek,NTQB2-1-M,67,8.299799919128418,42237,2023-05-02T01:00:00Z,WUR#155:8.3@150.1(M.69763),1519,5611,53.6212,0.1306,SG-3206RPI30D24,Spurn Bird Observatory,yagi-6,345.52747,Nathusius' Pipistrelle,WUR,UK-BirdObs
2023-05-09T22:50:28Z,2023-05-09,155,-67.6645,-79.8817,69763,2,12,113,Lotek,NTQB2-1-M,67,8.299799919128418,42237,2023-05-02T01:00:00Z,WUR#155:8.3@150.1(M.69763),1519,5611,53.6212,0.1306,SG-3206RPI30D24,Spurn Bird Observatory,yagi-6,102.52745,Nathusius' Pipistrelle,WUR,UK-BirdObs
